Pollutant:,PM25,Unit: grams of PM25,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,20825839054.482925,21898420693.868046,22317727635.495026,22555455141.118294,22801573714.298523,23055915835.986286,23259782057.728687,23459051626.48804,23653650979.112324,23843457001.723747,24028361999.795162,24208323409.494064,24383295856.16883,24553153013.576946,24717747273.55965,24876949499.055317,25030680746.201023,25178881827.17684,25321472754.10132,25458377554.548893,25589525476.18666,25714898047.9175,25834452224.054207,25948080470.68786,26055656461.575954,26157108962.5309,26252434038.4059,26341711596.773293,26425063065.019424,26502658377.237797,26574662327.738422
coal mining 05,0,0,0,0,0,60238927322.53101,64111759569.417496,64431136520.37427,68137052925.77009,62022679970.63834,62114079816.87058,62610235452.99113,61164472372.73686,61239305930.97866,60963683477.462906,60132379928.18337,59934658888.277626,59244820971.2732,58846034453.53199,57042265168.9174,55606644766.92103,54650390181.6432,53627805596.027664,53796187436.6649,53462765365.22526,52970048066.742775,52840285109.97443,52760932030.71553,51957513434.72759,51626998987.61737,50682886927.9026,50299248071.66011,49746820583.29337,49391726250.42402,49205989315.93362,49607950567.84666
oil and gas extraction 06,0,0,0,0,0,14196274771.689682,14516280317.855696,14981038179.802448,15225576177.24081,15442958004.00479,15624126532.096138,15639476521.472904,15636173357.838661,15871301656.47941,15985420606.148342,16030280062.820482,16139442063.327635,16255270149.098867,16362425643.225872,16321431477.061405,16290730308.803944,16290505972.06627,16347719170.468868,16441151066.328386,16548221015.703451,16661485308.421604,16719280363.30643,16800027588.319294,16932161862.548855,17057170647.178288,17150471164.482967,17249354915.88555,17358950088.999016,17438542798.591286,17509321541.84338,17650064358.767838
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,29985355840.515224,31154542400.163723,31931574033.446274,31744530759.319454,31851254014.522785,31680914907.304184,31373966571.78135,31078241833.971962,30823727902.47579,30562942740.661278,30280666028.736053,29979637292.287445,29722454573.646736,29420426024.182896,29100248039.075497,28839904993.87931,28580829412.724907,28310913012.85716,28064920406.276287,27855552687.317497,27604026386.789017,27359366665.05831,27166096248.147926,26976077553.41058,26660970290.183685,26424140636.90202,26308084537.012604,26193967699.971794,26129445365.907875,25799530799.447365,25676560322.053753
refined petroleum and coke 19,0,0,0,0,0,14241209555.2952,15275604806.464117,16443943930.807728,17207852138.47193,18048186428.211254,18909922201.90731,19178739373.98909,19114238899.70479,19339731224.90881,19299853067.795708,19239036886.101364,19043470926.50418,18857850963.222397,18847547113.871323,18602919068.44387,18486263325.207172,18368306561.62215,18175830887.551662,18045327535.752308,18051524043.580566,18110821885.269295,17993001308.669514,17938132441.596397,17939239323.050873,17831134383.929764,18038996289.73653,18157050122.768475,18180019361.74654,18098785273.850742,17893471803.22515,18346325402.685913
chemicals 20,0,0,0,0,0,23995154902.632893,24483324843.44476,24116596756.45905,24029189767.618767,24581149581.648647,25250450167.021973,25528136829.128494,25770631880.989452,26045567262.5114,26377109273.12381,26753545032.5364,27131553576.697723,27609517613.159546,27991831676.875153,28430242931.016712,28877820356.8755,29310012051.37941,29714694987.43321,30094233182.115685,30430268084.031128,30735436872.15845,31155873062.918194,31599336911.04187,32032391928.16617,32136056510.218346,32269827103.281937,32790863275.7817,33067952886.991154,33002549050.285713,33192335158.790253,33758408333.782227
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,6919588980.93624,6663243883.405592,7164288258.766522,7248681872.238679,7444652372.791435,7617145616.33084,7668458932.328627,7694628108.949006,7729011956.164085,7785943420.893074,7892734848.460814,8009109297.646425,8101971212.145817,8191010131.19649,8284058862.678855,8393749799.790123,8474452540.188657,8543156003.2905245,8608105867.091938,8671015992.6485,8769073032.045927,8879049425.093147,8964840175.094673,9005314289.175104,9062069928.01838,9121850221.489008,9180289800.786503,9243928007.866411,9251469156.718464,9256147789.874971,9285463682.641747
iron and steel 241,0,0,0,0,0,21744556563.232685,22268062452.23119,25249282120.148552,24648359402.31615,26264404138.39773,28278222354.53655,28148315605.55147,27813151180.571404,27438170618.565052,27149983094.710106,26947943009.417744,26641763941.913204,26444845554.671623,26129117431.636448,25911892816.510956,25813589477.763836,25729585204.958435,25593105872.922432,25419844036.791225,25088496972.890156,24773094601.259624,24759928426.71259,24904586406.560448,25090197413.836094,24938128502.912342,24771466500.65971,24940928749.60659,24943180544.560875,24424060759.63483,24051368905.001026,24190061498.2553
other metals 242,0,0,0,0,0,9013905018.763327,11016072672.814465,12404562926.000443,12387286312.44689,12535178379.319067,12784490615.392563,12960726839.32698,13108845502.061539,13238859330.667997,13359409365.856512,13471083390.647831,13563441853.700825,13614988798.653017,13668063468.315773,13723174589.830288,13761377986.548346,13724299185.91977,13688904974.854462,13738674059.466177,13723662805.350218,13647916422.089113,13715234295.923346,13846438962.966404,13949039661.788761,13980551328.285425,14101391553.031862,14250961471.655405,14397528574.702282,14463247069.090794,14502113933.353651,14686375393.491749
metal products except machinery and vehicles 25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0,0,0,0,0,72167312740.08253,81265242766.78802,86417649472.373,88623453570.18008,90292269524.59303,92820551863.63742,93148664035.2522,93451139351.91731,94189761060.08043,94817454002.87056,95656823700.07178,95636875980.9073,96485770841.7917,98106964706.36812,99753078713.86646,101628804276.62294,103676793256.94759,106130876290.22655,108931716595.47595,112148193208.19968,115330370064.03522,118508041920.5249,121964858660.9325,125625270706.26987,129281601859.94458,133299555534.45935,137624029717.91196,141954744539.63876,146702578593.60797,151714318794.37708,156734005415.58585
energy pipelines and gas processing 352T353,0,0,0,0,0,12344252050.879244,12235406940.702255,12269852384.286985,12359623901.08523,12454282694.52481,12469913254.45437,12435614310.204319,12327798715.928068,12431811019.219584,12384652633.221218,12297329790.522972,12248320500.204374,12247714111.875635,12325948229.230654,12223484053.717813,12123518097.889906,12094045620.523634,12155141332.75825,12234533518.181862,12319976640.585577,12405038055.735527,12447907037.791409,12515726894.98542,12624546454.511183,12690077738.673862,12758553681.311707,12861733244.708248,12958178222.574993,13038948563.291199,13108620160.05107,13245809255.086216
water and waste 36T39,0,0,0,0,0,203070902154.94122,206183284145.28378,209295666135.62677,212408048125.96988,215520430116.3125,218632812106.65543,221689616218.70874,224746420330.76172,227803224442.8147,230860028554.86807,233916832666.92108,236958263534.96576,239999694403.0102,243041125271.05475,246082556139.09924,249123987007.14398,252094008158.7463,255064029310.34894,258034050461.95123,261004071613.55392,263974092765.1565,266893595349.70215,269813097934.2481,272732600518.79398,275652103103.33984,278571605687.88574,281512255754.3771,284452905820.8686,287393555887.36005,290334205953.8515,293274856020.3428
construction 41T43,0,0,0,0,0,68315840148.60363,66199196883.22001,66191271777.274445,68059206899.358765,70222024021.69867,72080050067.80223,72717400046.64758,73340379441.4086,73948758270.51703,74542151641.23918,75120222866.58481,75682838878.61598,76229857821.88945,76760884760.80817,77275458225.8062,77773174493.78122,78253786761.36906,78717109988.8145,79162894108.82281,79590901607.67833,80000911291.31812,80392865413.27856,80766629399.19225,81121867064.2121,81458183472.74118,81775355924.2871,82073372116.34236,82352481865.13008,82613064790.88089,82855652161.06018,83080759174.5523
